,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
98,beisbol,usa/mlb/,2016,home,0.4898333333333333,1.7999999999999998,0.3638333333333333,2.05,250Sd5sp,1.0
99,beisbol,usa/mlb/,2016,home,0.7115,1.9,0.43966666666666665,1.9,25G531t9,1.0
100,beisbol,usa/mlb/,2016,away,0.635,0.0,0.5323333333333333,0.0,25nDryi4,1.0
101,beisbol,usa/mlb/,2016,home,0.621,2.55,0.4613333333333333,1.57,25r9TzL5,1.0
102,beisbol,usa/mlb/,2016,home,0.5096666666666667,2.1,0.3855,1.7599999999999998,27BcIC62,0.0
103,beisbol,usa/mlb/,2016,home,0.636,1.4,0.43716666666666665,3.1,27qDB2aK,0.0
104,beisbol,usa/mlb/,2016,home,0.7233333333333334,0.0,0.1815,0.0,29Kh9kQ2,1.0
105,beisbol,usa/mlb/,2016,home,0.5876666666666667,1.64,0.44116666666666665,2.35,29pn5KGK,0.0
106,beisbol,usa/mlb/,2016,home,0.6495,1.7400000000000002,0.358,2.15,29t4ErqC,1.0
107,beisbol,usa/mlb/,2016,away,0.6246666666666667,2.05,0.31566666666666665,1.7999999999999998,29tQj6dN,0.0
108,beisbol,usa/mlb/,2016,home,0.5525,2.5,0.4271666666666667,1.58,2B3sAwjF,0.0
109,beisbol,usa/mlb/,2016,home,0.5501666666666667,0.0,0.5411666666666667,0.0,2BFCeC6P,0.0
110,beisbol,usa/mlb/,2016,home,0.6788333333333333,1.7100000000000002,0.41,2.2,2BaEj1Nf,1.0
111,beisbol,usa/mlb/,2016,home,0.5429999999999999,1.42,0.5078333333333334,2.95,2BatPJvs,1.0
112,beisbol,usa/mlb/,2016,home,0.5263333333333333,1.66,0.324,2.3,2BsCfbjS,1.0
113,beisbol,usa/mlb/,2016,home,0.6025,1.48,0.4511666666666666,2.75,2DGlyURb,1.0
114,beisbol,usa/mlb/,2016,home,0.7028333333333333,2.55,0.4316666666666665,1.57,2DKZPuzc,0.0
115,beisbol,usa/mlb/,2016,home,0.6026666666666667,2.35,0.4981666666666666,1.64,2Db4A0zA,0.0
116,beisbol,usa/mlb/,2016,home,0.5786666666666667,1.43,0.4245,2.9,2DfAU4Xb,1.0
117,beisbol,usa/mlb/,2016,home,0.5323333333333333,2.6,0.523,1.55,2Dv8XpHj,0.0
118,beisbol,usa/mlb/,2016,away,0.6078333333333333,2.1,0.5026666666666667,1.7599999999999998,2DvVCeYJ,0.0
119,beisbol,usa/mlb/,2016,away,0.6981666666666667,1.8300000000000003,0.486,2.0,2FHaFJ94,1.0
120,beisbol,usa/mlb/,2016,home,0.5565,1.86,0.4273333333333333,1.95,2FHedTRC,1.0
121,beisbol,usa/mlb/,2016,away,0.6981666666666667,2.4,0.486,1.62,2FggRyQD,0.0
122,beisbol,usa/mlb/,2016,home,0.6085,0.0,0.5085,0.0,2HCD7C0D,1.0
123,beisbol,usa/mlb/,2016,away,0.5301666666666667,1.9,0.5215,1.9,2HIave6R,1.0
124,beisbol,usa/mlb/,2016,home,0.6496666666666666,0.0,0.4031666666666667,0.0,2HOaN72N,1.0
125,beisbol,usa/mlb/,2016,home,0.5663333333333334,1.7999999999999998,0.4563333333333333,2.05,2HpMo37c,0.0
126,beisbol,usa/mlb/,2016,away,0.5588333333333333,1.37,0.5446666666666666,3.2,2Ht6SxjI,1.0
127,beisbol,usa/mlb/,2016,home,0.5763333333333334,1.86,0.4281666666666667,1.95,2HvAh8zh,1.0
128,beisbol,usa/mlb/,2016,home,0.5016666666666667,1.37,0.3675,3.2,2J9Dzv9T,1.0
129,beisbol,usa/mlb/,2016,away,0.5305,1.68,0.39866666666666667,2.25,2J9GYDqJ,0.0
